<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGT,D,20101108,000000,29.1,29.3,28,28.84,413709,0
AGT,D,20101109,000000,29.1,31,29,30.5,244198,0
AGT,D,20101110,000000,30.65,30.65,30,30.2,94995,0
AGT,D,20101112,000000,30.02,31.5,30,31.19,98668,0
AGT,D,20101115,000000,31.75,31.84,30.93,30.93,106486,0
AGT,D,20101116,000000,30.93,30.93,30,30.5,120907,0
AGT,D,20101117,000000,30.33,30.33,29.05,29.7,137842,0
AGT,D,20101118,000000,30.1,30.7,29.9,30.6,447870,0
AGT,D,20101119,000000,30.4,30.65,30.4,30.6,113011,0
AGT,D,20101122,000000,30.6,30.9,30,30,62683,0
AGT,D,20101123,000000,30,30,29.22,29.4,4080,0
AGT,D,20101124,000000,30.3,30.3,29.55,30.12,218358,0
AGT,D,20101125,000000,30.11,30.38,30.1,30.35,177057,0
AGT,D,20101126,000000,30.3,30.5,30.12,30.3,144914,0
AGT,D,20101129,000000,30.05,30.3,30,30.19,91811,0
AGT,D,20101130,000000,30.25,30.25,29.65,30,62553,0
AGT,D,20101201,000000,30,30.75,29.75,30.7,63948,0
AGT,D,20101202,000000,30.85,31.31,30.5,31,111267,0
AGT,D,20101203,000000,31.1,32,30.91,32,132723,0
AGT,D,20101206,000000,31.99,32.1,31.8,32.1,71462,0
AGT,D,20101207,000000,32,32.1,31.45,31.6,100306,0
AGT,D,20101208,000000,31.47,31.47,31.3,31.34,76589,0
AGT,D,20101209,000000,31.49,31.49,31,31.37,228276,0
AGT,D,20101210,000000,31.37,31.37,31,31.29,71306,0
AGT,D,20101213,000000,31.29,31.29,31.01,31.17,53969,0
AGT,D,20101214,000000,31.15,31.19,30.65,31,49748,0
AGT,D,20101215,000000,31.09,31.09,29.5,30.46,70100,0
AGT,D,20101216,000000,30.45,30.98,29.9,30.5,93034,0
AGT,D,20101217,000000,30.5,31,30.2,30.9,36310,0
AGT,D,20101220,000000,30.4,30.98,30.1,30.88,44977,0
AGT,D,20101221,000000,30.9,31.1,30.8,31.1,140967,0
AGT,D,20101222,000000,31.15,31.9,31,31.72,17267,0
AGT,D,20101223,000000,31.7,31.97,31.4,31.72,13482,0
AGT,D,20101227,000000,31.9,33.9,31.7,33.85,39652,0
AGT,D,20101228,000000,34,34.89,33.36,34.89,59192,0
AGT,D,20101229,000000,35,36.49,34.61,35.5,34171,0
AGT,D,20101230,000000,35,35.55,34.65,35.2,13954,0
AGT,D,20101231,000000,35.5,35.5,34.8,34.86,4064,0
AGT,D,20110103,000000,34.87,36.99,34.3,36.75,18014,0
AGT,D,20110104,000000,36.79,36.79,35.51,36,82567,0
AGT,D,20110105,000000,35.61,36,35,35.69,20917,0
AGT,D,20110107,000000,35.99,36.5,35.69,36.5,5857,0
AGT,D,20110110,000000,36.53,38.6,36.5,37.7,25575,0
AGT,D,20110111,000000,38.5,38.6,37.7,38.3,8601,0
AGT,D,20110112,000000,38.2,38.2,35.6,37.6,48446,0
AGT,D,20110113,000000,37.36,37.9,35.81,37.9,137787,0
AGT,D,20110114,000000,37.9,38.6,37.5,37.8,50064,0
AGT,D,20110117,000000,38.2,38.21,37.45,38.21,205578,0
AGT,D,20110118,000000,38.61,41.9,38.61,41.68,111754,0
