<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALI,D,20140711,000000,7.4221,7.5647,7.4221,7.5251,562261,0
ALI,D,20140714,000000,7.5568,7.5568,7.4459,7.4776,47281,0
ALI,D,20140715,000000,7.4776,7.4776,6.9785,7.129,139494,0
ALI,D,20140716,000000,7.129,7.129,6.9152,6.9152,42293,0
ALI,D,20140717,000000,6.9707,7.4142,6.9468,7.3984,121703,0
ALI,D,20140718,000000,7.3192,7.3984,7.232,7.3984,25517,0
ALI,D,20140721,000000,7.232,7.3667,7.232,7.2874,14002,0
ALI,D,20140722,000000,7.2874,7.3984,7.0182,7.3984,66712,0
ALI,D,20140723,000000,7.3984,7.3984,7.232,7.3667,17798,0
ALI,D,20140724,000000,7.3588,7.4855,7.3588,7.3667,49795,0
ALI,D,20140725,000000,7.137,7.4618,7.137,7.4142,51563,0
ALI,D,20140728,000000,7.2478,7.43,7.2478,7.2637,113211,0
ALI,D,20140729,000000,7.2716,7.3667,7.24,7.3667,40080,0
ALI,D,20140730,000000,7.2954,7.335,7.2082,7.2874,15848,0
ALI,D,20140731,000000,7.2478,7.2478,7.0974,7.1924,39041,0
ALI,D,20140801,000000,7.1924,7.2082,7.0656,7.2082,32206,0
ALI,D,20140804,000000,7.1766,7.1766,7.0498,7.1053,17627,0
ALI,D,20140805,000000,7.1053,7.1924,7.0498,7.1924,41353,0
ALI,D,20140806,000000,7.0894,7.1845,6.7567,7.1053,6196,0
ALI,D,20140807,000000,7.0103,7.0103,6.733,6.8122,18527,0
ALI,D,20140808,000000,6.8201,6.9311,6.8122,6.9311,568,0
ALI,D,20140811,000000,6.9311,7.0894,6.8835,7.0894,1768,0
ALI,D,20140812,000000,6.8122,7.0815,6.8122,6.8518,26869,0
ALI,D,20140813,000000,6.9707,7.0419,6.7885,6.7885,18110,0
ALI,D,20140814,000000,6.5349,6.8201,6.4399,6.6855,5347,0
ALI,D,20140818,000000,6.733,6.8201,6.733,6.733,5284,0
ALI,D,20140819,000000,6.8201,7.0023,6.6538,6.8914,8597,0
ALI,D,20140820,000000,7.129,7.2478,6.8201,7.1924,371,0
ALI,D,20140821,000000,6.7409,7.1845,6.7409,7.1211,887,0
ALI,D,20140822,000000,6.9785,7.1211,6.7646,7.1132,2344,0
ALI,D,20140825,000000,7.1211,7.1211,6.7805,7.0894,298,0
ALI,D,20140826,000000,7.0498,7.0736,6.9707,7.0736,7713,0
ALI,D,20140827,000000,6.8993,7.0736,6.733,6.8835,8376,0
ALI,D,20140828,000000,7.0736,7.0736,6.7409,7.0103,1644,0
ALI,D,20140829,000000,6.7409,7.034,6.7409,6.9944,1768,0
ALI,D,20140901,000000,6.733,6.8122,6.6538,6.7726,5179,0
ALI,D,20140902,000000,6.733,6.9311,6.6696,6.7251,6912,0
ALI,D,20140903,000000,6.7726,6.7964,6.5746,6.7964,11341,0
ALI,D,20140904,000000,6.6617,7.0419,6.6617,7.0419,3807,0
ALI,D,20140905,000000,6.9311,7.034,6.8518,6.9231,3051,0
ALI,D,20140908,000000,6.9231,7.026,6.8914,6.9707,10461,0
ALI,D,20140909,000000,7.0182,7.0894,6.8914,6.9707,69159,0
ALI,D,20140910,000000,6.9311,7.0894,6.9311,7.0894,2578,0
ALI,D,20140911,000000,7.0815,7.0815,6.9231,7.0498,5558,0
ALI,D,20140912,000000,7.0419,7.0419,6.9707,7.0419,4298,0
ALI,D,20140915,000000,6.9468,7.026,6.9311,7.0182,2473,0
ALI,D,20140916,000000,6.9707,7.0103,6.8993,7.0103,38704,0
ALI,D,20140917,000000,7.0103,7.0498,7.0103,7.0498,256,0
ALI,D,20140918,000000,7.0103,7.2003,6.9311,7.2003,5687,0
ALI,D,20140919,000000,7.129,7.2241,6.9707,7.2241,1177,0
ALI,D,20140922,000000,7.129,7.2874,7.129,7.2796,842,0
ALI,D,20140923,000000,7.2716,7.2796,7.1449,7.2796,939,0
ALI,D,20140924,000000,7.2796,7.2796,7.026,7.2716,2211,0
ALI,D,20140925,000000,7.2637,7.335,7.129,7.2716,22185,0
ALI,D,20140926,000000,7.3588,7.3588,7.1686,7.2874,1083,0
ALI,D,20140929,000000,7.3112,7.3271,7.3112,7.3192,413,0
ALI,D,20140930,000000,7.3192,7.3508,7.1924,7.2796,66799,0
ALI,D,20141001,000000,7.2874,7.3033,7.1449,7.2716,9018,0
ALI,D,20141002,000000,7.2478,7.3588,7.137,7.3508,1090,0
